DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2024-03-31 17:38:12",INFO,--,"Starting to install",198,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Check requirement",201,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Check requirement: OK",227,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Set configuration",236,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Set configuration: OK",245,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install SQL",248,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install SQL: OK",257,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install order state",260,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: paid",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 14",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: refund",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 15",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: pending",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 16",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: pending",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 17",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: error",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 18",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: cancelled",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 19",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: auth",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 20",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: auth",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 21",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: exp",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 22",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: exp",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 23",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: oney_pg",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 24",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Creating new order state: oney_pg",90,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"State created with id: 25",122,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\repositories\OrderStateRepository.php"
"2024-03-31 17:38:12",INFO,--,"Install order state: OK",269,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install order state type",272,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install order state type: OK",281,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install tab",284,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install tab: OK",293,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:12",INFO,--,"Install hook",296,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:13",INFO,--,"Install tab: OK",305,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:13",INFO,--,"Files cleaning",308,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
"2024-03-31 17:38:13",INFO,--,"Files cleaning: ok",311,"C:\xampp\htdocs\CozyHome\prestashop\modules\payplug\src\actions\ConfigurationAction.php"
